nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Hyophila involuta;23;Hacienda cerca de Guama;;;Pittier, H. 11168;1923-09-18;VEN;;;Morales & García 2006
Hyophila involutifolia;;;;; Fendler 23;;;;;Pittier 1936
Hyophila involutifolia;17;Caripe;;;Moritz 127, tipo;;;;;Pittier 1936
Leptodontium capituligerum;15;Páramo de Mucubají arriba de laguna negra;;;Griffin et al. 1284 ;;FLAS;;;Griffin III 1974
Leptodontium capituligerum;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium capituligerum;15;Páramo de Santo Domingo. Hotel de los Frailes, Parque Nacional Sierra Nevada;3000;;Dorr, L., Barnett, L. & Diggs, G. Jr 4933;1988-04-24;VEN;;;Morales & García 2006
Leptodontium erythroneuron;15;Páramo de Mucubají arriba de laguna Grande;;;Griffin et al. 1003 ;;FLAS;;;Griffin III 1975
Leptodontium erythroneuron;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium filicola;21;Páramo de Tamá;;;;;;;;
Leptodontium filicola;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium filicola;21;Páramo de Tamá;2475;2550;Steyermark, J., G.C.K. & E. Dunsterville 98367-A;1967-05-18;VEN;;;Morales & García 2006
Leptodontium flexifolium;15;Laguna de Mucubají, por encima de Apartaderos;;;;;;;;
Leptodontium flexifolium;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium flexifolium;22;;;;;;;;;
Leptodontium flexifolium;16;Pico de Naiguata, sobre Los Chorros;;;;;;;;
Leptodontium flexifolium;15;Pico Espejo, Loma Redonda;4060;;Mägdefrau, K. 626;1958-04-01;VEN;;;Morales & García 2006
Leptodontium flexifolium;15;Vía Teleférico, estación la Aguada, entre Mérida y Pico Espejo;3475;;Steyermark, J. & Koyama, T. 102384, 102382;1969-12-17;VEN;;;Morales & García 2006
Leptodontium longicaule;15;;;;;;;;;
Leptodontium longicaule;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium longicaule;5;;;;;;;;;
Leptodontium longicaule;14;Entre Buenos Aires y Páramo de Las Rosas;;;;;;;;
Leptodontium longicaule;15;Parque Nacional Sierra Nevada, región de Mucubafí y el Águila;3750;;Steyermark, J., Arthur & Cronquist, M. 106308, 106307;1972-06-27;VEN;;;Morales & García 2006
Leptodontium longicaule;15;Sierra Santo Domingo, Páramo de Mucubají sobre la Laguna Grande;3500;;Griffin, D., López, M. & Ruiz, L. 17444;1972-07-01;VEN;;;Morales & García 2006
Leptodontium longicaule var. longicaule;15;;;;;;;;;
Leptodontium longicaule var. longicaule;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium longicaule var. microruncinatum;15;Páramo de Muchíes, Páramo de Timotes;;;;;;;;
Leptodontium longicaule var. microruncinatum;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium luteum;22;Páramo La Cristalina, Sector El Romeral;;;Ruíz -Terán 9073 ;;FLAS;;;Griffin III 1975
Leptodontium luteum;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium luteum;15;;;;;;;;;
Leptodontium pungens;14;Páramo de Las Rosas;;;;;;;;
Leptodontium pungens;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium pungens;15;El Águila, Páramo de Muchíes;;;;;;;;
Leptodontium pungens;15;Páramo entre Apartaderos y el Águila;4000;;Steyermark, J. & Rabe, M. 97155;1966-08-30;VEN;;;Morales & García 2006
Leptodontium pungens;15;Sierra Santo Domingo, Páramo de Mucubají sobre la Laguna Grande;3500;;Griffin, D., López, M. & Ruiz, L. 17449, 17465;1972-07-01;VEN;;;Morales & García 2006
Leptodontium pungens;15;Laguna de los Anteojos unterhald der Loma Redonda;4000;;Mägdefrau, K. 1614;1967-04-15;VEN;;;Morales & García 2006
Leptodontium stellaticuspis;15;Páramo de Mucubají arriba de Laguna Grande;;;Griffin et al. 1284-a ;;FLAS;;;Griffin III 1975
Leptodontium stellaticuspis;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium stellatifolium;15;;;;;;;;;
Leptodontium viticulosoides;;Sin localidad;;;;;;;;
Leptodontium viticulosoides;5;Cerro Roraima;2750;2800;Steyermark, J., Brewer, Ch., G.C.K. & E. Dunsterville 112577;1976-08-26;VEN;;;Morales & García 2006
Leptodontium viticulosoides;10;Costa de Maya, NO de la Colonia Tovar;2100;2240;Steyermark, J., Davidse, G. & Liesner, R. 127871;1982-12-09;VEN;;;Morales & García 2006
Leptodontium viticulosoides;14;Río Tocuyo, 15-18 Km al S de Humocaro Alto hacia Guaitó;1500;1900;Steyermark, J. & Nehlin, S. 109962;1974-06-01;VEN;;;Morales & García 2006
Leptodontium viticulosoides;15;Sierra Nevada de Mérida, vía entre la Aguada y la Montaña;2800;;Griffin, D., López, M. & Ruiz, L. 17452;1972-07-01;VEN;;;Morales & García 2006
Leptodontium viticulosoides;22;Páramo Turmal, SE de Páramo Jabón;2900;;Dorr, L., Barnett, L., Rivero, R. & Díaz,W. 5311;1988-05-27;VEN;;;Morales & García 2006
Leptodontium viticulosoides;22;Mesa Arriba entre Pico de Jabón & Páramo de Termal;2550;2650;Dorr, L., & Barnett, L. 5166;1988-05-12;VEN;;;Morales & García 2006
Leptodontium viticulosoides var. panamense;;;;;Fendler 62 ;;;;;Pittier 1936
Leptodontium viticulosoides var. panamense;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium viticulosoides var. panamense;4;Colonia Tovar;;;Allart 438;;;;;Pittier 1936
Leptodontium viticulosoides var. panamense;5;Roraima;;;;;;;;
Leptodontium viticulosoides var. panamense;10;Silla de Caracas;;;;;;;;
Leptodontium viticulosoides var. panamense;21;Páramo de Tamá;;;;;;;;
Leptodontium viticulosoides var. panamense;16;Silla de Caracas Jahn;;;;;;;;Pittier 1936
Leptodontium viticulosoides var. panamense;15;;;;;;;;;
Leptodontium viticulosoides var. panamense;22;;;;;;;;;
Leptodontium viticulosoides var. panamense;15;Faldas del Río Mucujún, Chorros de Milla;2000;;Mägdefrau, K. 1625;1967-04-17;VEN;;;Morales & García 2006
Leptodontium viticulosoides var. viticulosoides;15;;;;;;;;;
Leptodontium viticulosoides var. viticulosoides;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium viticulosoides var. viticulosoides;22;;;;;;;;;
Leptodontium viticulosoides var. viticulosoides;10;;;;;;;;;
Leptodontium viticulosoides var. viticulosoides;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium viticulosoides var. viticulosoides;15;;;;;;;;;
Leptodontium wallisii;15;Parque Nacional Sierra Nevada, Páramo de Mucubají arriba de laguna grande;;;Griffin et al. 867 ;;FLAS;;;Griffin III 1975
Leptodontium wallisii;;Sin localidad;;;;;;;;Churchill et al. 2000
Leptodontium wallisii;15;Páramo de Pozo Negro, parte del Páramo de San José;;;Ruiz-Terán & M. López  F. 6545 ;;FLAS;;;Griffin III 1976
Leptodontium wallisii;22;En la cima Páramo La Cristalina. ;;;Ruiz-Terán 9030;;FLAS;;;Griffin III 1975
Leptodontium wallisii;15;Sierra de Santo Domingo, Páramo de Mucubají;3200;;Giffin, D., López, M. & Ruiz, L. 17459;1972-07-01;VEN;;;Morales & García 2006
Molendoa sendtneriana;25;;;;;;;;;
Molendoa sendtneriana;;Sin localidad;;;;;;;;Churchill et al. 2000
Molendoa sendtneriana;4;;;;;;;;;
Molendoa sendtneriana;22;Salto La Nevera, 15 Km al S de la Puerta;;;Steyermark, J. & Rabe, M. 97198;1966-09-03;VEN;;;Morales & García 2006
Mironia ehrenbergiana;15;Sierra Nevada de Mérida cerca de la Laguna de Los Anteojos ;;;Griffin et al. 477-a ;;FLAS, MERF;;;Griffin III 1975
Mironia ehrenbergiana;15;Páramo de Mucubají cerca de la Laguna Los Patos ;;;Griffin et al. 1051 ;;FLAS;;;Griffin III 1975
Mironia ehrenbergiana;21;;;;;;;;;
Mironia ehrenbergiana;22;;;;;;;;;
Mironia ehrenbergiana;15;Sierra Nevada de Mérida, cerca de la Laguna de los Anteojos justo sobre la Loma Redonda;;;Griffin, D., López, M. & Ruiz, L. 17515;1972-07-01;VEN;;;Morales & García 2006
Mironia ehrenbergiana;15;Páramo de los Granates alrededores de Loma de Paja;2480;;15425 M. López-Figueiras;1977-12-28;MERF;;;
Mironia ehrenbergiana;15;Parque Nacional Sierra Nevada. Loma Redonda Teleférico;4068;;;;VEN;;;Morales & García 2006
Mironia ehrenbergiana var. ehrenbergiana;;Sin localidad;;;;;;;;Churchill et al. 2000
Mironia ehrenbergiana var. elongata;;Sin localidad;;;;;;;;Churchill et al. 2000
Pseudosymblepharis schimperiana;15;Entre Aricagua y El Morro al lado del Páramo de San Pedro;;;Ruiz-Terán & M. López 8779, 8781;;FLAS;;;Griffin III 1975
Pseudosymblepharis schimperiana;;Sin localidad;;;;;;;;Churchill et al. 2000
Pseudosymblepharis schimperiana;4;;;;;;;;;
Pseudosymblepharis schimperiana;10;;;;;;;;;
Pseudosymblepharis schimperiana;4;Parque Nacional Henri Pittier, Las Delicias;1000;;Steyermark, J. 55065;1962-11-03;VEN;;;Morales & García 2006
Pseudosymblepharis schimperiana;4;SE de la Colonia Tovar;1900;;Steyermark, J., Jhon & Wurdack, M. 106484, 106488;1972-10-30;VEN;;;Morales & García 2006
Pseudosymblepharis schimperiana;10;Camino de Maya, hacia San Antonio y Hacienda Santa Luisa;2100;2240;Steyermark, J., Davidse, G. & Liesner, R. 127794, 127797;1982-12-08;VEN;;;Morales & García 2006
Pseudosymblepharis schimperiana;10;Camino de Maya, hacia San Antonio y Hacienda Santa Luisa;2100;2240;Steyermark, J., Davidse, G. & Liesner, R.127877;1982-12-09;VEN;;;Morales & García 2006
Pseudosymblepharis schimperiana;21;Río Quinimarí, Cerro Las Copas;2500;2700;Steyermark, J., G.C.K. & E. Dunsterville 100962;1968-01-15;VEN;;;Morales & García 2006
Plaubelia sprengelii;4;;;;;;;;;
Plaubelia sprengelii;;Sin localidad;;;;;;;;Churchill et al. 2000
Pseudocrossidium replicatum;15;Muros de la calle de Mérida;;;Pittier 12758;;;;;Pittier 1936 
Pseudocrossidium replicatum;15;Timotes;;;Pitt. 12946, 12750;;;;;
Pseudocrossidium replicatum;22;;;;;;;;;
Pseudocrossidium replicatum;14;;;;;;;;;
Pseudocrossidium replicatum;15;;;;Pittier, H. 12758;1928-01-28;VEN;;;Morales & García 2006
Pseudocrossidium replicatum var. replicatum;;Sin localidad;;;;;;;;Churchill et al. 2000
Scopelophila ligulata;14;;;;;;;;;
Scopelophila ligulata;14;Camino entre San Carlos y Sanare, 5 Km de la encrucijada;1700;1800;Steyermark, J., Delascio, F., G.C.K. & E. Dunsterville 103624-A;1970-08-09;VEN;;;Morales & García 2006
Streptopogon calymperes;10;;;;;;;;;
Streptopogon calymperes;;Sin localidad;;;;;;;;Churchill et al. 2000
Streptopogon calymperes;15;;;;;;;;;
Streptopogon calymperes;17;Cerca de Caripe;;;;;;;;
Streptopogon calymperes;10;Camino Costa Maya;2100;2400;Steyermark, J., Davidse, G. & Liesner, R. 127897;1982-12-09;VEN;;;Morales & García 2006
Streptopogon calymperes;15;El Valle, 20 Km al NE de Mérida y Mucucharaní, Quebrada de la Culata ;2450;;Griffin, D., López, M. & Ruiz, L. 17520;1972-07-01;VEN;;;Morales & García 2006
Streptopogon cavifolius;15;Vía La Azulita;;;;;;;;
Streptopogon cavifolius;;Sin localidad;;;;;;;;Churchill et al. 2000
Streptopogon erythrodontus;5;;;;;;;;;
Streptopogon erythrodontus;15;La Mucuy, Parque Nacional Sierra Nevada, arriba de Tabay ;;;Griffin et al. 1864;;FLAS;;;Griffin III 1975
Streptopogon erythrodontus;15;Páramo La Negra ;;;Griffin et al. 2154 ;;FLAS;;;Griffin III 1975
Streptopogon erythrodontus;22;;;;;;;;;
Streptopogon erythrodontus var. erythrodontus;;Sin localidad;;;;;;;;Churchill et al. 2000
Streptopogon lindigii;15;El Valle, La Caña;;;;;;;;
Streptopogon lindigii;;Sin localidad;;;;;;;;Churchill et al. 2000
Symphyodon pygmaeus;15;;;;;;;;;
Syntrichia amphidiacea;;Sin localidad;;;;;;;;Churchill et al. 2000
Syntrichia amphidiacea;;;;;;;;;;Tropicos.org (ANBRY)
Syntrichia andicola;15;Sierra Nevada ;;;Moritz.;;;;;
Syntrichia andicola;;Sin localidad;;;;;;;;Churchill et al. 2000
Syntrichia andicola;15;Páramo de Apartaderos;;;Jahn 777, C. Chardon 12;;;;;Pittier 1936
Syntrichia andicola;15;Páramo de Los Caracoles cerca de Piedras Blanca;;;M. López F. & Ruiz-Terán 355;;FLAS;;;Griffin III 1975
Syntrichia andicola;15;entre Chachopo y Apartaderos;;;;;;;;
Syntrichia andicola;21;;;;;;;;;
Syntrichia andicola;15;Laguna Negra ;;;Mägdefrau, K. 1643;1967-04-18;VEN;;;Morales & García 2006
Syntrichia bogotensis;;Sin localidad;;;;;;;;Churchill et al. 2000
Syntrichia bogotensis;;;;;;;;;;Tropicos.org (ANBRY)
Syntrichia fragilis;15;Alrededores de Timotes ;;;Pitt. 12699, 12950 ;1938-01-23;VEN;;;"Pittier 1936; Morales & García 2006"
Syntrichia fragilis;;Sin localidad;;;;;;;;Churchill et al. 2000
Syntrichia fragilis;15;Páramo de Apartaderos;;;Jahn, L. 777;1922-01-21;VEN;;;Morales & García 2006
Tortella humilis;17;Cerca Caripe;;;;;;;;
Tortella humilis;;Sin localidad;;;;;;;;Churchill et al. 2000
Tortella tortuosa;10;;;;;;;;;
Tortula goudotii;;;;;;;;;;
Tortula goudotii var. goudotii;;Sin localidad;;;;;;;;Churchill et al. 2000
Tortula subulata;15;Laguna Negra ;;;C. Chardon 36;;;;;Pittier 1936
Trichostomum arboreum;10;Los Frailes de Catia;;;Pitt. 11286;1923-12-21;VEN;;;"Pittier 1936; Morales & García 2006"
Trichostomum arboreum;10;Hacienda Panarigua, valle de Puerto la Cruz ;;;Pittier 11653;;;;;Pittier 1936
Trichostomum brachydontium;15;Carretera Mérida-La Azulita, 1Km más arriba de La Chorrera;1820;;Griffin et al. 108;;FLAS;;;Griffin III 1977c
Trichostomum brachydontium;17;;;;;;;;;
Trichostomum brachydontium;20;;;;;;;;;
Trichostomum brachydontium;22;;;;;;;;;
Trichostomum brachydontium;4;;;;;;;;;
Trichostomum sinaloense;10;Lomas áridas, cerca de Catia ;;;Pittier 11098 ;1922-07-05;VEN;;;"Pittier 1936; Morales & García 2006"
Trichostomum tenuirostre;15;Laguna de los Anteojos unterhalb der Loma Redonda;4000;;Mägdefrau, K. 1608;1967-04-15;VEN;;;Morales & García 2006
Trichostomum tenuirostre;21;4,6 Km al ESE del Zumbador on rd. To Queniquea ;2621;;Luteyn, J. & Lebrón, M. 9868;1984-04-13;VEN;;;Morales & García 2006
Trichostomum tenuirostre var. gemmiparum;15;;;;;;;;;
Trichostomum tenuirostre var. gemmiparum;22;;;;;;;;;
Trichostomum tenuirostre var. tenuirostre;;Sin localidad;;;;;;;;Churchill et al. 2000
Trichostomum tovarense;;Sin localidad;;;;;;;;Churchill et al. 2000
Trichostomopsis curvipes;;Sin localidad;;;;;;;;Pursell 1973
Trichostomopsis curvipes;;Sin localidad;;;;;;;;Moreno 1990
Trichostomum wagneri;10;;;;;;;;;
Uleobryum peruvianum;20;;;;;;;;;
Weissia controversa;17;;;;;;;;;
Weissia controversa;;Sin localidad;;;;;;;;Churchill et al. 2000
Weissia jamaicensis;17;;;;;;;;;
Weissia jamaicensis;;Sin localidad;;;;;;;;Churchill et al. 2000
Weissia jamaicensis;16;en las vegas del río El Valle, cerca de El Guayabo ;;;Pitt. 11968;;;;;Pittier 1936
Prionodon densus;2;Cerro Peonia;;;;;;;;Bartram 1957
Prionodon densus;;Sin localidad;;;;;;;;Churchill et al. 2000
Prionodon densus;15;La Mucuy cerca de Tabay ;;;Griffin et al. 1811 ;;FLAS;;;"Griffin III 1975; Tropicos.org"
Prionodon densus;15;;;;Moritz 178;;;;;Pittier 1936
Prionodon densus;14;entre Buenos Aires y el Cañon del Callado, arriba de Humacaro;;;;;;;;"Bartram 1957; Tropicos.org"
Prionodon densus;19;;;;;;;;;Tropicos.org
Prionodon densus;21;;;;;;;;;Tropicos.org
Prionodon densus;22;;;;;;;;;Tropicos.org
Prionodon densus;10;Caracas ;;;Moritz;;;;;Pittier 1936
Prionodon densus;10;Ávila;1400;2101;;;;;;Pittier 1936
Prionodon densus;4;Colonia Tovar;;;Moritz, Allart 348;;;;;Pittier 1936
Prionodon densus;20;Cerro Turimiquire ;;;;;;;;Bartram 1957
Prionodon densus;10;;;;;;;;;Tropicos.org
Prionodon densus;2;Cerro Peoní (Cerro Los Pajaritos) above Santa Cruz headwaters of Río Manantiales, E of Bergatin;2200;;Steyermark, J. 61686, 61685;1945-03-21;VEN;;;Morales & García 2006
Prionodon densus;4;Pico Codazzi, SE;2000;2150;Steyermark, J., Huber, O. & Carreño, V. 115736;1977-12-03;VEN;;;Morales & García 2006
Prionodon densus;4;Colonia Tovar;;;Allart, L. 348;1924-12-01;VEN;;;Morales & García 2006
Prionodon densus;10;Portachuelo and Peñita and Carayaca, between Colonia Tovar- Junquito road and Hacienda El Limón;1300;1500;Steyermark, J. 94434;1965-10-12;VEN;;;Morales & García 2006
Prionodon densus;14;La Brisa, Yacambú, 10 Km al NO de el Blanquito, 10 Km al SSE de Sanare;1630;;Steyermark, J., Delascio, F.,  G.C.K. & E. Dunsterville 103590;1970-08-08;VEN;;;Morales & García 2006
Prionodon densus;14;Parque Nacional Yacambú, 19 Km al SSE de Sanare;1450;;Steyermark, J., Delascio, F.,  G.C.K. & E. Dunsterville 103444;1970-08-06;VEN;;;Morales & García 2006
Prionodon densus;15;Río Capaz, arriba de la Azulita;2100;2400;Steyermark, J. & Rabe, M. 97115;1966-09-01;VEN;;;Morales & García 2006
Prionodon densus;15;Parque Nacional de Sierra Nevada, 2 Km S of Mérida;2550;2650;Kellu, D., O´Donovan, G. & Feehan, J. 10846-A;1995-08-08;VEN;;;Morales & García 2006
Prionodon densus;15;Along the La Pedregosa tributary of the Chama river at the el Maciegal;2200;;Griffin, D., López, M. & Ruiz, L. 17441;1972-07-01;VEN;;;Morales & García 2006
Prionodon densus;15;Pico Espejo, La Aguada;3350;;Mägdefrau, K. 680;1958-04-02;VEN;;;Morales & García 2006
Prionodon densus;15;La Carbonera, cerca de la Azulita;2400;;Griffin, D., López, M. & Ruiz, L. 17470;1972-07-01;VEN;;;Morales & García 2006
Prionodon densus;15;Laguna Coromoto;3400;;Vareschi, V. 5990;1957-01-13;VEN;;;Morales & García 2006
Prionodon densus;15;Selva de Mucují;3150;;Vareschi, V. 1404;1952-05-30;VEN;;;Morales & García 2006
Prionodon densus;15;Parque Nacional de la Sierra Nevada, La Mucuy sobre Tabay;2320;;Griffin, D., López, M. & Ruiz, L. 17457;1972-07-01;VEN;;;Morales & García 2006
Prionodon densus;16;Al E de la Quebrada Serraduro, al E de la Hacienda Gárate, 16 Km al NE de Caucaguito, 30 Km al NE de Petare;1200;1500;Steyermark, J. 91617;1963-10-08;VEN;;;Morales & García 2006
Prionodon densus;19;15 Km al E de Chabasquén, 67 Km al NNO de Guanare;1450;1520;Steyermark, J., Liesner, R. & Stergios, B. 126854, 126722;1982-10-29;VEN;;;Morales & García 2006
Prionodon densus;20;Cerro de Turimiquire, north-facing slopes above La Trinidad, SW of Cocollar;2200;;Steyermark, J. 62547, 62549;1945-05-05;VEN;;;Morales & García 2006
Prionodon densus;21;Páramo de Tamá;2475;2550;Steyermark, J., G.C.K. & E. Dunsterville 98358;1967-05-18;VEN;;;Morales & García 2006
Prionodon densus;21;Río Quinimarí. Al pie de la Peña de Pata de Judío, 15 Km al S de San Vicente de la Revancha;2400;;Steyermark, J., G.C.K. & E. Dunsterville 100581;1968-01-10;VEN;;;Morales & García 2006
Prionodon densus;21;Entre Zumbador y Queniquea;2600;2800;Steyermark, J. 105072;1971-03-03;VEN;;;Morales & García 2006
Prionodon densus;21;Páramo de la Negra en la carretera hacia Pregonero;2700;2900;Steyermark, J. & Rabe, M. 96885, 96884;1966-08-29;VEN;;;Morales & García 2006
Prionodon densus;21;4,6 Km al ESE del Zumbador ;2621;;Luteyn, J. & Lebrón, M. 9866;1984-04-13;VEN;;;Morales & García 2006
Prionodon densus;21;Páramo de Tamá, arriba de Betania y Tamá, cerca de la Quebrada Buena Vista;2300;2450;Steyermark, J., G.C.K. & E. Dunsterville 98722, 98721, 98705;1967-05-22;VEN;;;Morales & García 2006
